FDNames,GLnames,SameName,OrigFD
Tyler Johnson,Troy Williams,FALSE,Trey Lyles
Tyler Ulis,Ty Lawson,FALSE,Tristan Thompson
Tyler Zeller,Tyler Ennis,FALSE,Troy Daniels
Tyreke Evans,Tyler Johnson,FALSE,Troy Williams
Tyson Chandler,Tyler Ulis,FALSE,Ty Lawson
Tyus Jones,Tyler Zeller,FALSE,Tyler Ennis
Udonis Haslem,Tyreke Evans,FALSE,Tyler Johnson
Victor Oladipo,Tyson Chandler,FALSE,Tyler Ulis
Vince Carter,Tyus Jones,FALSE,Tyler Zeller
Wade Baldwin,Udonis Haslem,FALSE,Tyreke Evans
Walter Tavares,Victor Oladipo,FALSE,Tyson Chandler
Wayne Ellington,Vince Carter,FALSE,Tyus Jones
Wayne Selden,Wade Baldwin IV,FALSE,Udonis Haslem
Wes Matthews,Wayne Ellington,FALSE,Victor Oladipo
Wesley Johnson,Wayne Selden,FALSE,Vince Carter
Will Barton,Wesley Johnson,FALSE,Wade Baldwin
Willie Reed,Wesley Matthews,FALSE,Walter Tavares
Guillermo Hernangomez,Will Barton,FALSE,Wayne Ellington
Wilson Chandler,Willie Cauley-Stein,FALSE,Wayne Selden
Yogi Ferrell,Willie Reed,FALSE,Wes Matthews
Zach LaVine,Willy Hernangomez,FALSE,Wesley Johnson
Zach Randolph,Wilson Chandler,FALSE,Will Barton
Zaza Pachulia,Yogi Ferrell,FALSE,Willie Reed
,Zach LaVine,#REF!,Wilson Chandler
,Zach Randolph,FALSE,Yogi Ferrell
,Zaza Pachulia,FALSE,Zach LaVine
,,TRUE,Zach Randolph
,,TRUE,Zaza Pachulia
