FDNames,GLnames,SameName,OrigFD
Brandon Knight,Brandon Knight,TRUE,Brandon Knight
Brandon Rush,Brandon Rush,TRUE,Brandon Rush
Brian Roberts,Brian Roberts,TRUE,Brian Roberts
Briante Weber,Briante Weber,TRUE,Briante Weber
Brice Johnson,Brice Johnson,TRUE,Brice Johnson
Brook Lopez,Brook Lopez,TRUE,Brook Lopez
Bruno Caboclo,Bruno Caboclo,TRUE,Bruno Caboclo
Bryn Forbes,Bryn Forbes,TRUE,Bryn Forbes
Buddy Hield,Buddy Hield,TRUE,Buddy Hield
C Watson.J.,C.J. Watson,FALSE,C Watson.J.
Cameron Payne,Cameron Payne,TRUE,Cameron Payne
Caris LeVert,Caris LeVert,TRUE,Caris LeVert
Carmelo Anthony,Carmelo Anthony,TRUE,Carmelo Anthony
Chandler Parsons,Chandler Parsons,TRUE,Chandler Parsons
Channing Frye,Channing Frye,TRUE,Channing Frye
Chasson Randle,Chasson Randle,TRUE,Chasson Randle
Cheick Diallo,Cheick Diallo,TRUE,Cheick Diallo
Chinanu Onuaku,Chinanu Onuaku,TRUE,Chinanu Onuaku
Chris Andersen,Chris Andersen,TRUE,Chris Andersen
Chris McCullough,Chris McCullough,TRUE,Chris McCullough
Chris Paul,Chris Paul,TRUE,Chris Paul
Christian Wood,Christian Wood,TRUE,Christian Wood
C McCollum.J.,CJ McCollum,FALSE,C McCollum.J.
C Miles.J.,CJ Miles,FALSE,C Miles.J.
C Wilcox.J.,CJ Wilcox,FALSE,C Wilcox.J.
Clint Capela,Clint Capela,TRUE,Clint Capela
Cody Zeller,Cody Zeller,TRUE,Cody Zeller
Cole Aldrich,Cole Aldrich,TRUE,Cole Aldrich
Corey Brewer,Corey Brewer,TRUE,Christian Wood
Cory Joseph,Cory Joseph,TRUE,Clint Capela
Courtney Lee,Courtney Lee,TRUE,Cody Zeller
Cristiano Felicio,Cristiano Felicio,TRUE,Cole Aldrich
D Augustin.J.,D.J. Augustin,FALSE,Corey Brewer
D Russell'Angelo,D'Angelo Russell,FALSE,Cory Joseph
Damian Jones,Damian Jones,TRUE,Courtney Lee
