"","teams","opp","date","opener.odds","opener.juice","pinn.odds","pinn.juice","opener","totals","totalsjuice"
"92","San Antonio Stars","Seattle Storm",2017-06-06,3.5,-110,4.5,-110,79,77,-115
"93","Chicago Sky","L.A. Sparks",2017-06-06,7,-110,7,-105,83,84.5,-121
"94","L.A. Sparks","Chicago Sky",2017-06-06,-7,-110,-7,-115,83,84.5,100
"95","Atlanta Dream","New York Liberty",2017-06-07,2.5,-110,3,-106,79.5,79,-110
"96","New York Liberty","Atlanta Dream",2017-06-07,-2.5,-110,-3,-114,79.5,79,-110
"97","Phoenix Mercury","Indiana Fever",2017-06-07,-1,-115,-3,-115,80.5,82.5,-133
"98","Indiana Fever","Phoenix Mercury",2017-06-07,1,-105,3,-105,80.5,82.5,110
"99","Minnesota Lynx","Washington Mystics",2017-06-09,-3,-120,-4,-140,79.5,79.5,-135
"100","Washington Mystics","Minnesota Lynx",2017-06-09,3,100,4,115,79.5,79.5,111
"101","Seattle Storm","Indiana Fever",2017-06-09,-3,-110,-3,-115,80,78,-105
"102","Indiana Fever","Seattle Storm",2017-06-09,3,-110,3,-105,80,78,-115
"103","L.A. Sparks","Dallas Wings",2017-06-09,-3.5,-115,-4.5,-130,82.5,80.5,-101
"104","Dallas Wings","L.A. Sparks",2017-06-09,3.5,-105,4.5,107,82.5,80.5,-120
"105","Atlanta Dream","Connecticut Sun",2017-06-10,1,-105,2,-120,76.5,77,-110
"106","Connecticut Sun","Atlanta Dream",2017-06-10,-1,-115,-2,-101,76.5,77,-110
"107","Chicago Sky","San Antonio Stars",2017-06-10,0,-110,1.5,-110,81,82,-101
"108","San Antonio Stars","Chicago Sky",2017-06-10,0,-110,-1.5,-110,81,82,-120
"109","L.A. Sparks","Phoenix Mercury",2017-06-10,0.5,-110,0.5,-110,81,77.5,-105
"110","Phoenix Mercury","L.A. Sparks",2017-06-10,-0.5,-110,-0.5,-110,81,77.5,-115
"111","Seattle Storm","New York Liberty",2017-06-11,1.5,-110,1.5,-105,81.5,79.5,107
"112","New York Liberty","Seattle Storm",2017-06-11,-1.5,-110,-1.5,-115,81.5,79.5,-130
"113","Indiana Fever","Washington Mystics",2017-06-11,3,-110,4.5,-110,82,83.5,-125
"114","Washington Mystics","Indiana Fever",2017-06-11,-3,-110,-4.5,-110,82,83.5,103
"115","Minnesota Lynx","Dallas Wings",2017-06-11,-5,-110,-5.5,-120,82.5,86,-135
"116","Dallas Wings","Minnesota Lynx",2017-06-11,5,-110,5.5,-101,82.5,86,111
"117","Atlanta Dream","Seattle Storm",2017-06-13,4,-110,5.5,-110,81.5,79.5,-137
"118","Seattle Storm","Atlanta Dream",2017-06-13,-4,-110,-5.5,-110,81.5,79.5,113
"119","Dallas Wings","L.A. Sparks",2017-06-13,6,-110,7,-107,84.5,85,111
"120","L.A. Sparks","Dallas Wings",2017-06-13,-6,-110,-7,-113,84.5,85,-135
"121","New York Liberty","Connecticut Sun",2017-06-14,0,-110,0.5,-105,80.5,81.5,-120
"122","Connecticut Sun","New York Liberty",2017-06-14,0,-110,-0.5,-115,80.5,81.5,-101
"123","Atlanta Dream","Indiana Fever",2017-06-15,2,-110,2,-103,82,81.5,114
"124","Indiana Fever","Atlanta Dream",2017-06-15,-2,-110,-2,-118,82,81.5,-138
"125","San Antonio Stars","L.A. Sparks",2017-06-15,7.5,-105,8,107,80,80.5,-120
"126","L.A. Sparks","San Antonio Stars",2017-06-15,-7.5,-115,-8,-130,80,80.5,-101
"127","New York Liberty","Dallas Wings",2017-06-16,0,-110,-0.5,-110,85.5,86,-140
"128","Dallas Wings","New York Liberty",2017-06-16,0,-110,0.5,-110,85.5,86,115
"129","Chicago Sky","Phoenix Mercury",2017-06-16,3.5,-105,4.5,107,81.5,83,-123
"130","Phoenix Mercury","Chicago Sky",2017-06-16,-3.5,-115,-4.5,-130,81.5,83,102
"131","Connecticut Sun","Minnesota Lynx",2017-06-17,5,-105,5,111,81,79,107
