"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"22047-9598","PF","Ersan","Ersan Ilyasova","Ilyasova","17.3","5","4100","ATL@SA","ATL","SA","","","",""
"22047-58350","SF","Stanley","Stanley Johnson","Johnson","17.384615384615383","13","4100","CLE@DET","DET","CLE","","","",""
"22047-9713","PG","Jarrett","Jarrett Jack","Jack","16.923076923076923","13","4100","LAC@NY","NY","LAC","","","",""
"22047-12359","SF","Evan","Evan Turner","Turner","19.40625","16","4000","POR@MEM","POR","MEM","","","",""
"22047-23772","PG","Yogi","Yogi Ferrell","Ferrell","18.3647066004136","17","4000","BOS@DAL","DAL","BOS","","","",""
"22047-12511","PG","Ish","Ish Smith","Smith","18.818750381469727","16","4000","CLE@DET","DET","CLE","","","",""
"22047-80813","PG","Frank","Frank Ntilikina","Ntilikina","17.515384380634014","13","4000","LAC@NY","NY","LAC","","","",""
"22047-15947","SF","Reggie","Reggie Bullock","Bullock","6.8","10","3900","CLE@DET","DET","CLE","","","",""
"22047-9810","PG","Jerryd","Jerryd Bayless","Bayless","19","9","3900","UTA@PHI","PHI","UTA","","","",""
"22047-15800","PF","Jae","Jae Crowder","Crowder","15.456250190734863","16","3900","CLE@DET","CLE","DET","","","",""
"22047-9715","SG","Marco","Marco Belinelli","Belinelli","20.3125","16","3900","ATL@SA","ATL","SA","","","",""
"22047-15417","SF","Solomon","Solomon Hill","Hill","17.16125030517578","80","3800","OKC@NO","NO","OKC","O","Hamstring","",""
"22047-66109","PF","Skal","Skal Labissiere","Labissiere","16.71875","16","3800","DEN@SAC","SAC","DEN","","","",""
"22047-16448","PF","Frank","Frank Kaminsky","Kaminsky","18.935714721679688","14","3800","MIN@CHA","CHA","MIN","","","",""
"22047-12369","SF","Lance","Lance Stephenson","Stephenson","16.323529411764707","17","3800","IND@ORL","IND","ORL","","","",""
"22047-9870","SG","Kyle","Kyle Korver","Korver","16.412500381469727","16","3800","CLE@DET","CLE","DET","","","",""
"22047-42677","PG","Terry","Terry Rozier","Rozier","21.311763987821692","17","3800","BOS@DAL","BOS","DAL","","","",""
"22047-15548","SG","Andre","Andre Roberson","Roberson","13.866666666666667","15","3800","OKC@NO","OKC","NO","","","",""
"22047-15560","PG","Shabazz","Shabazz Napier","Napier","13.050000508626303","12","3800","POR@MEM","POR","MEM","","","",""
"22047-15691","C","Cody","Cody Zeller","Zeller","19.727272727272727","11","3800","MIN@CHA","CHA","MIN","","","",""
"22047-9731","C","Kosta","Kosta Koufos","Koufos","17.899999618530273","16","3700","DEN@SAC","SAC","DEN","","","",""
"22047-41077","PG","Sindarius","Sindarius Thornwell","Thornwell","10.413333129882812","15","3700","LAC@NY","LAC","NY","","","",""
"22047-67708","PG","Dejounte","Dejounte Murray","Murray","19.625","16","3700","ATL@SA","SA","ATL","","","",""
"22047-14533","PG","Shelvin","Shelvin Mack","Mack","16.353333536783854","15","3700","IND@ORL","ORL","IND","","","",""
"22047-55060","SG","Bogdan","Bogdan Bogdanovic","Bogdanovic","17.476922842172478","13","3700","DEN@SAC","SAC","DEN","","","",""
"22047-11074","SG","Garrett","Garrett Temple","Temple","16.50666707356771","15","3700","DEN@SAC","SAC","DEN","","","",""
"22047-80811","PF","Jonathan","Jonathan Isaac","Isaac","17.133333841959637","12","3700","IND@ORL","ORL","IND","O","Ankle","",""
"22047-9648","PF","Jeff","Jeff Green","Green","17.8125","16","3700","CLE@DET","CLE","DET","","","",""
"22047-17384","C","Kyle","Kyle O'Quinn","O'Quinn","19.173333740234376","15","3700","LAC@NY","NY","LAC","","","",""
"22047-12365","PF","Ed","Ed Davis","Davis","18.193750381469727","16","3600","POR@MEM","POR","MEM","","","",""
"22047-42661","PF","Noah","Noah Vonleh","Vonleh","13.944444444444445","9","3600","POR@MEM","POR","MEM","","","",""
"22047-49336","SF","DeAndre'","DeAndre' Bembry","Bembry","10.850000381469727","2","3600","ATL@SA","ATL","SA","GTD","Wrist","",""
"22047-9920","PF","Anthony","Anthony Tolliver","Tolliver","14.646153376652645","13","3600","CLE@DET","DET","CLE","","","",""
"22047-16178","SF","Maurice","Maurice Harkless","Harkless","16.375","16","3600","POR@MEM","POR","MEM","","","",""
"22047-17517","SG","Tony","Tony Snell","Snell","17.519999186197918","15","3500","WAS@MIL","MIL","WAS","","","",""
"22047-58083","C","Jahlil","Jahlil Okafor","Okafor","12.649999618530273","2","3500","UTA@PHI","PHI","UTA","","","",""
