"","teams","opp","date","opener.odds","opener.juice","pinn.odds","pinn.juice","opener","totals","totalsjuice"
"111","Tulsa Shock","Seattle Storm",2015-06-30,-1.5,-105,-1,-105,75.5,74.5,-104
"112","Seattle Storm","Tulsa Shock",2015-06-30,1.5,-115,1,-105,75.5,74.5,-106
"113","Chicago Sky","Connecticut Sun",2015-07-02,-2,-105,-2,-123,78.5,76.5,-110
"114","Connecticut Sun","Chicago Sky",2015-07-02,2,-115,2,111,78.5,76.5,100
"115","Washington Mystics","Indiana Fever",2015-07-02,-1.5,-115,-1.5,-104,77.5,77.5,-100
"116","Indiana Fever","Washington Mystics",2015-07-02,1.5,-105,1.5,-106,77.5,77.5,-110
"117","Tulsa Shock","Phoenix Mercury",2015-07-02,4,-110,4,101,75,74.5,-104
"118","Phoenix Mercury","Tulsa Shock",2015-07-02,-4,-110,-4,-111,75,74.5,-106
"119","San Antonio Stars","L.A. Sparks",2015-07-02,3,-110,3,103,73.5,74.5,-110
"120","L.A. Sparks","San Antonio Stars",2015-07-02,-3,-110,-3,-114,73.5,74.5,-101
"121","Seattle Storm","Minnesota Lynx",2015-07-03,7,-115,7,-101,72.5,73.5,-105
"122","Minnesota Lynx","Seattle Storm",2015-07-03,-7,-105,-7,-110,72.5,73.5,-105
"123","Tulsa Shock","L.A. Sparks",2015-07-03,2.5,-110,3,-110,74.5,73.5,-115
"124","L.A. Sparks","Tulsa Shock",2015-07-03,-2.5,-110,-3,-101,74.5,73.5,104
"125","Seattle Storm","Atlanta Dream",2015-07-05,4,-110,3.5,-104,73.5,73,-123
"126","Atlanta Dream","Seattle Storm",2015-07-05,-4,-110,-3.5,-106,73.5,73,111
"127","Phoenix Mercury","L.A. Sparks",2015-07-05,-2,-105,-1.5,-110,76.5,77.5,-101
"128","L.A. Sparks","Phoenix Mercury",2015-07-05,2,-115,1.5,-100,76.5,77.5,-109
"129","Tulsa Shock","Atlanta Dream",2015-07-07,2.5,-105,2.5,-107,75.5,75.5,-106
"130","Atlanta Dream","Tulsa Shock",2015-07-07,-2.5,-115,-2.5,-103,75.5,75.5,-104
"131","Seattle Storm","Indiana Fever",2015-07-08,3.5,-110,3.5,-102,73.5,73.5,-118
"132","Indiana Fever","Seattle Storm",2015-07-08,-3.5,-110,-3.5,-108,73.5,73.5,107
"133","L.A. Sparks","San Antonio Stars",2015-07-08,-2,-110,-1.5,-121,77.5,77,102
"134","San Antonio Stars","L.A. Sparks",2015-07-08,2,-110,1.5,110,77.5,77,-113
"135","New York Liberty","Washington Mystics",2015-07-09,2,-110,2,-105,70.5,70.5,-130
"136","Washington Mystics","New York Liberty",2015-07-09,-2,-110,-2,-105,70.5,70.5,118
"137","San Antonio Stars","Indiana Fever",2015-07-10,4.5,-115,4,-107,76.5,75.5,104
"138","Indiana Fever","San Antonio Stars",2015-07-10,-4.5,-105,-4,-103,76.5,75.5,-114
"139","Minnesota Lynx","Chicago Sky",2015-07-10,-1,-115,-2,-101,78,77.5,-101
"140","Chicago Sky","Minnesota Lynx",2015-07-10,1,-105,2,-109,78,77.5,-109
"141","Phoenix Mercury","Seattle Storm",2015-07-10,-3.5,-115,-4.5,-100,73,72.5,-105
"142","Seattle Storm","Phoenix Mercury",2015-07-10,3.5,-105,4.5,-110,73,72.5,-105
"143","L.A. Sparks","Tulsa Shock",2015-07-11,2.5,-110,2,-104,78.5,78,-107
"144","Tulsa Shock","L.A. Sparks",2015-07-11,-2.5,-110,-2,-106,78.5,78,-103
"145","New York Liberty","Atlanta Dream",2015-07-12,1,-110,-1,-108,73.5,72,-109
"146","Atlanta Dream","New York Liberty",2015-07-12,-1,-110,1,-102,73.5,72,-101
"147","Connecticut Sun","Chicago Sky",2015-07-12,4,-110,4,-101,78,77.5,-110
"148","Chicago Sky","Connecticut Sun",2015-07-12,-4,-110,-4,-109,78,77.5,-100
"149","Seattle Storm","Phoenix Mercury",2015-07-12,7.5,-110,8.5,-108,75,74,-113
"150","Phoenix Mercury","Seattle Storm",2015-07-12,-7.5,-110,-8.5,-102,75,74,102
"151","San Antonio Stars","Minnesota Lynx",2015-07-12,8.5,-110,8.5,100,74.5,73.5,-105
"152","Minnesota Lynx","San Antonio Stars",2015-07-12,-8.5,-110,-8.5,-110,74.5,73.5,-105
"153","Minnesota Lynx","Connecticut Sun",2015-07-14,-3.5,-110,-3.5,-107,72.5,72.5,-111
"154","Connecticut Sun","Minnesota Lynx",2015-07-14,3.5,-110,3.5,-103,72.5,72.5,101
"155","Atlanta Dream","Phoenix Mercury",2015-07-14,4.5,-105,5.5,-114,76.5,76,-107
