PLAYER_ID,PLAYER,FIRST_NAME,LAST_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,PTS_DRIVE,FGP_DRIVE,PTS_CLOSE,FGP_CLOSE,PTS_CATCH_SHOOT,FGP_CATCH_SHOOT,PTS_PULL_UP,FGP_PULL_UP,FGA_DRIVE,FGA_CLOSE,FGA_CATCH_SHOOT,FGA_PULL_UP,EFG_PCT,CFGM,CFGA,CFGP,UFGM,UFGA,UFGP,CFG3M,CFG3A,CFG3P,UFG3M,UFG3A,UFG3P,X
201162,Jared Dudley,Jared,Dudley,PHX,64,21.2,6.8,0.5,0.538,0.4,0.647,4.1,0.394,0.7,0.5,0.4,0.3,3.8,0.6,0.565,0.4,0.8,0.5,1.4,3.6,0.386,0.2,0.5,0.467,1.0,2.7,0.364,NA
203546,Ian Clark,Ian,Clark,GSW,76,14.7,6.9,1.1,0.5,1.1,0.725,2.2,0.439,1.5,0.402,1.0,0.7,1.7,1.7,0.564,0.4,1.0,0.413,1.0,2.4,0.425,0.0,0.2,0.158,0.8,1.8,0.414,NA
201156,Nick Young,Nick,Young,LAL,60,25.9,13.2,0.8,0.429,0.2,0.833,6.5,0.443,4.0,0.38,0.6,0.1,5.0,4.3,0.564,1.7,4.3,0.389,2.2,5.2,0.424,1.0,2.8,0.371,1.8,4.2,0.426,NA
201152,Thaddeus Young,Thaddeus,Young,IND,72,30.1,11.1,0.8,0.491,3.6,0.641,2.1,0.355,0.4,0.448,0.8,2.7,2.1,0.4,0.562,0.1,0.2,0.278,0.9,2.3,0.381,0.0,0.0,0.0,0.6,1.6,0.398,NA
101139,CJ Miles,CJ,Miles,IND,74,23.4,10.6,1.0,0.394,0.4,0.8,6.4,0.411,1.1,0.38,0.9,0.2,5.4,1.2,0.561,0.8,2.2,0.362,1.9,4.5,0.42,0.5,1.4,0.346,1.7,3.9,0.427,NA
202711,Bojan Bogdanovic,Bojan,Bogdanovic,WAS,25,22.9,12.9,1.8,0.417,0.7,0.467,4.5,0.39,2.0,0.5,1.4,0.6,4.0,1.7,0.558,0.9,1.9,0.479,1.5,3.9,0.392,0.4,1.0,0.44,1.3,3.4,0.384,NA
200755,JJ Redick,JJ,Redick,LAC,77,28.2,15.0,1.2,0.451,0.1,0.25,6.8,0.444,4.3,0.422,0.9,0.1,5.6,4.3,0.558,1.3,3.5,0.355,3.0,6.4,0.474,0.7,1.9,0.351,1.9,4.1,0.466,NA
203186,Willie Reed,Willie,Reed,MIA,69,14.6,5.1,0.1,0.429,2.2,0.607,0.4,0.433,0.1,0.2,0.1,1.6,0.4,0.1,0.558,0.1,0.2,0.286,0.2,0.4,0.379,0.0,0.0,0.333,0.0,0.0,0.0,NA
202685,Jonas Valanciunas,Jonas,Valanciunas,TOR,78,26.0,12.0,0.3,0.583,4.7,0.695,1.6,0.496,0.2,0.412,0.2,2.9,1.7,0.2,0.558,0.2,0.4,0.382,0.9,1.8,0.472,0.0,0.0,0.0,0.0,0.0,0.0,NA
202337,Luke Babbitt,Luke,Babbitt,MIA,68,15.7,4.8,0.1,0.125,0.0,0.0,3.7,0.415,0.7,0.435,0.2,0.0,3.0,0.7,0.557,0.2,0.5,0.382,1.4,3.3,0.425,0.1,0.2,0.417,1.2,2.9,0.408,NA
201988,Patty Mills,Patty,Mills,SAS,79,22.0,9.5,0.7,0.5,0.3,0.786,3.7,0.407,3.3,0.402,0.6,0.2,3.1,3.3,0.556,0.6,1.8,0.354,2.0,4.6,0.422,0.3,0.9,0.304,1.6,3.6,0.437,NA
203939,Dwight Powell,Dwight,Powell,DAL,74,17.1,6.5,0.4,0.467,2.3,0.713,1.4,0.319,0.1,0.222,0.4,1.4,1.8,0.1,0.556,0.1,0.3,0.273,0.5,1.7,0.312,0.0,0.1,0.143,0.2,0.7,0.314,NA
202355,Hassan Whiteside,Hassan,Whiteside,MIA,75,32.5,16.8,0.3,0.5,7.8,0.647,0.9,0.359,0.5,0.404,0.3,5.2,1.2,0.6,0.556,0.3,0.8,0.333,0.5,1.6,0.345,0.0,0.0,0.0,0.0,0.0,0.0,NA
203210,JaMychal Green,JaMychal,Green,MEM,76,27.4,9.0,0.5,0.481,2.0,0.596,3.1,0.464,0.2,0.286,0.4,1.3,2.6,0.4,0.555,0.1,0.4,0.259,1.3,2.8,0.455,0.0,0.2,0.167,0.7,1.7,0.4,NA
203090,Maurice Harkless,Maurice,Harkless,POR,76,28.9,10.0,1.0,0.333,2.4,0.667,2.8,0.369,0.2,0.286,1.2,1.7,2.6,0.4,0.555,0.1,0.4,0.323,0.9,2.6,0.352,0.1,0.3,0.364,0.8,2.3,0.349,NA
