"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"18599-9862","PF","Amir","Amir Johnson","Johnson","16.446753563818994","77","4000","BOS@ATL","BOS","ATL","","","",""
"18599-14505","C","Bismack","Bismack Biyombo","Biyombo","17.664934430803573","77","4000","BKN@ORL","ORL","BKN","","","",""
"18599-15542","PG","Spencer","Spencer Dinwiddie","Dinwiddie","16.312727494673297","55","4000","BKN@ORL","BKN","ORL","","","",""
"18599-23798","SG","Caris","Caris LeVert","LeVert","15.513207777491155","53","4000","BKN@ORL","BKN","ORL","","","",""
"18599-15907","C","Shawn","Shawn Long","Long","16.72000020345052","15","3900","CHI@PHI","PHI","CHI","","","",""
"18599-15952","PF","John","John Henson","Henson","17.43214307512556","56","3900","MIL@IND","MIL","IND","GTD","Thumb","",""
"18599-9593","PG","Brandon","Brandon Jennings","Jennings","17.754545137479706","77","3900","WAS@NY","WAS","NY","","","",""
"18599-15520","SG","Sean","Sean Kilpatrick","Kilpatrick","20.821428571428573","70","3900","BKN@ORL","BKN","ORL","GTD","Hamstring","",""
"18599-23717","SF","Shabazz","Shabazz Muhammad","Muhammad","13.875342800192637","73","3900","MIN@POR","MIN","POR","","","",""
"18599-24546","SG","Denzel","Denzel Valentine","Valentine","10.703773354584316","53","3900","CHI@PHI","CHI","PHI","","","",""
"18599-58153","SF","Kelly","Kelly Oubre Jr.","Oubre Jr.","12.002666829427083","75","3800","WAS@NY","WAS","NY","","","",""
"18599-48799","PF","Maurice","Maurice Ndour","Ndour","5.653571537562779","28","3800","WAS@NY","NY","WAS","","","",""
"18599-9647","SF","Thabo","Thabo Sefolosha","Sefolosha","18.54666748046875","60","3800","BOS@ATL","ATL","BOS","O","Groin","",""
"18599-67026","SF","Jaylen","Jaylen Brown","Brown","11.69864881360853","74","3800","BOS@ATL","BOS","ATL","","","",""
"18599-23824","PG","Archie","Archie Goodwin","Goodwin","10.9636362249201","11","3700","BKN@ORL","BKN","ORL","","","",""
"18599-16178","SF","Maurice","Maurice Harkless","Harkless","20.151350691511823","74","3700","MIN@POR","POR","MIN","","","",""
"18599-17517","SF","Tony","Tony Snell","Snell","15.123376623376624","77","3700","MIL@IND","MIL","IND","","","",""
"18599-15501","SG","Allen","Allen Crabbe","Crabbe","16.737179487179485","78","3700","MIN@POR","POR","MIN","","","",""
"18599-42156","PF","Bobby","Bobby Portis","Portis","12.773333740234374","60","3700","CHI@PHI","CHI","PHI","","","",""
"18599-23801","SG","Nik","Nik Stauskas","Stauskas","16.57499935752467","76","3700","CHI@PHI","PHI","CHI","","","",""
"18599-9733","SG","Randy","Randy Foye","Foye","11.252308067908654","65","3600","BKN@ORL","BKN","ORL","","","",""
"18599-9525","SG","C.J.","C.J. Watson","Watson","9.703279088755123","61","3600","BKN@ORL","ORL","BKN","","","",""
"18599-9529","SG","Anthony","Anthony Morrow","Morrow","8.262221950954862","45","3600","CHI@PHI","CHI","PHI","","","",""
"18599-12365","PF","Ed","Ed Davis","Davis","12.365217125934103","46","3600","MIN@POR","POR","MIN","O","Shoulder","",""
"18599-12369","SG","Lance","Lance Stephenson","Stephenson","13.257143293108259","14","3600","MIL@IND","IND","MIL","","","",""
"18599-9609","C","Al","Al Jefferson","Jefferson","15.016666296756629","66","3600","MIL@IND","IND","MIL","GTD","Ankle","",""
"18599-22727","PG","Ron","Ron Baker","Baker","9.316666920979818","48","3600","WAS@NY","NY","WAS","","","",""
"18599-16604","SG","Justin","Justin Holiday","Holiday","13.785898061899038","78","3600","WAS@NY","NY","WAS","","","",""
"18599-9953","C","Ian","Ian Mahinmi","Mahinmi","14.049999782017299","28","3600","WAS@NY","WAS","NY","","","",""
"18599-9968","SG","Jodie","Jodie Meeks","Meeks","15.074999809265137","32","3600","BKN@ORL","ORL","BKN","","","",""
"18599-19456","PG","Isaiah","Isaiah Canaan","Canaan","8.435135300095016","37","3500","CHI@PHI","CHI","PHI","","","",""
"18599-40209","C","Joffrey","Joffrey Lauvergne","Lauvergne","11.293939763849432","66","3500","CHI@PHI","CHI","PHI","","","",""
"18599-23826","SF","Alex","Alex Poythress","Poythress","21.5","2","3500","CHI@PHI","PHI","CHI","","","",""
"18599-55063","C","Edy","Edy Tavares","Tavares","3.200000047683716","1","3500","BOS@ATL","ATL","BOS","","","",""
"18599-9496","PG","Jason","Jason Terry","Terry","9.032856968470982","70","3500","MIL@IND","MIL","IND","","","",""
"18599-9752","PF","Jordan","Jordan Hill","Hill","3.828571319580078","7","3500","MIN@POR","MIN","POR","","","",""
"18599-16411","SG","C.J.","C.J. Wilcox","Wilcox","2.4272727966308594","22","3500","BKN@ORL","ORL","BKN","","","",""
"18599-9501","PF","Kris","Kris Humphries","Humphries","10.01698159271816","53","3500","BOS@ATL","ATL","BOS","","","",""
