PLAYER_ID,PLAYER,FIRST_NAME,LAST_NAME,TEAM_ABBREVIATION,GP,MIN,BLK,STL,FGM_DEFEND_RIM,FGA_DEFEND_RIM,FGP_DEFEND_RIM,BLK_TOT,X
2216,Zach Randolph,Zach,Randolph,MEM,72,24.6,0.1,0.5,2.2,4.0,0.563,10,NA
2564,Boris Diaw,Boris,Diaw,UTA,71,17.5,0.1,0.2,1.2,2.2,0.565,9,NA
203490,Otto Porter Jr.,Otto,Porter Jr.,WAS,79,32.6,0.5,1.5,1.9,3.4,0.565,42,NA
200768,Kyle Lowry,Kyle,Lowry,TOR,58,37.7,0.3,1.5,1.5,2.7,0.567,18,NA
1626178,Rondae Hollis-Jefferson,Rondae,Hollis-Jefferson,BKN,75,22.3,0.5,1.0,2.2,3.8,0.568,40,NA
203999,Nikola Jokic,Nikola,Jokic,DEN,70,27.9,0.7,0.8,4.4,7.8,0.568,49,NA
203901,Elfrid Payton,Elfrid,Payton,ORL,80,29.3,0.5,1.1,1.2,2.2,0.568,40,NA
101107,Marvin Williams,Marvin,Williams,CHA,74,30.5,0.7,0.8,2.3,4.0,0.569,52,NA
1627827,Dorian Finney-Smith,Dorian,Finney-Smith,DAL,78,20.2,0.3,0.6,1.4,2.4,0.577,24,NA
101162,Marcin Gortat,Marcin,Gortat,WAS,80,31.2,0.8,0.5,4.7,8.1,0.577,61,NA
201933,Blake Griffin,Blake,Griffin,LAC,59,34.2,0.4,0.9,2.2,3.8,0.577,23,NA
202710,Jimmy Butler,Jimmy,Butler,CHI,74,37.1,0.4,1.9,1.4,2.3,0.578,29,NA
202720,Jon Leuer,Jon,Leuer,DET,73,26.3,0.4,0.4,2.5,4.3,0.579,26,NA
1626204,Larry Nance Jr.,Larry,Nance Jr.,LAL,61,22.6,0.6,1.3,2.0,3.5,0.579,39,NA
1626163,Frank Kaminsky,Frank,Kaminsky,CHA,73,26.2,0.5,0.6,2.5,4.2,0.581,33,NA
1627742,Brandon Ingram,Brandon,Ingram,LAL,77,28.9,0.5,0.6,1.3,2.2,0.582,36,NA
202709,Cory Joseph,Cory,Joseph,TOR,78,25.3,0.2,0.9,1.3,2.2,0.586,12,NA
201976,Patrick Beverley,Patrick,Beverley,HOU,66,30.7,0.4,1.5,1.7,2.9,0.589,25,NA
1627763,Malcolm Brogdon,Malcolm,Brogdon,MIL,73,26.4,0.2,1.1,1.4,2.4,0.59,11,NA
201568,Danilo Gallinari,Danilo,Gallinari,DEN,62,34.0,0.2,0.6,1.5,2.5,0.591,15,NA
202681,Kyrie Irving,Kyrie,Irving,CLE,72,35.1,0.3,1.2,1.2,2.1,0.592,24,NA
203944,Julius Randle,Julius,Randle,LAL,72,29.1,0.5,0.7,3.3,5.5,0.593,37,NA
201152,Thaddeus Young,Thaddeus,Young,IND,71,30.0,0.4,1.5,2.1,3.6,0.594,29,NA
