Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
18347-16071,SG,Tim,Tim Frazier,Frazier,18.83518473,54,3900,MEM@NO,NO,MEM,,
18347-9956,SG,Wayne,Wayne Ellington,Ellington,16.49199951,50,3900,PHO@MIA,MIA,PHO,,
18347-16178,SF,Maurice,Maurice Harkless,Harkless,20.64615385,65,3900,MIL@POR,POR,MIL,,
18347-16293,SG,Norman,Norman Powell,Powell,13.53333352,66,3900,CHI@TOR,TOR,CHI,,
18347-40830,PG,Delon,Delon Wright,Wright,12.62666626,15,3800,CHI@TOR,TOR,CHI,,
18347-9737,SG,Nick,Nick Young,Young,18.49333293,60,3700,LAC@LAL,LAL,LAC,GTD,Illness
18347-58378,C,Jakob,Jakob Poeltl,Poeltl,7.119047619,42,3700,CHI@TOR,TOR,CHI,,
18347-9758,SG,Danny,Danny Green,Green,16.64426209,61,3700,SA@MIN,SA,MIN,,
18347-15469,PF,Quincy,Quincy Acy,Acy,11.32068923,29,3700,DET@BKN,BKN,DET,,
18347-42661,PF,Noah,Noah Vonleh,Vonleh,10.2557373,61,3700,MIL@POR,POR,MIL,,
18347-9448,SG,Jamal,Jamal Crawford,Crawford,18.31267537,71,3700,LAC@LAL,LAC,LAL,,
18347-23407,SF,P.J.,P.J. Tucker,Tucker,18.02857143,70,3700,CHI@TOR,TOR,CHI,,
18347-9654,SF,Vince,Vince Carter,Carter,16.33548367,62,3700,MEM@NO,MEM,NO,,
18347-9704,SG,Manu,Manu Ginobili,Ginobili,15.85932224,59,3700,SA@MIN,SA,MIN,,
18347-9733,SG,Randy,Randy Foye,Foye,11.41249956,56,3600,DET@BKN,BKN,DET,,
18347-37931,C,Aron,Aron Baynes,Baynes,11.32985038,67,3600,DET@BKN,DET,BKN,,
18347-12352,SG,Jordan,Jordan Crawford,Crawford,20.95714242,7,3600,MEM@NO,NO,MEM,,
18347-12365,PF,Ed,Ed Davis,Davis,12.36521713,46,3600,MIL@POR,POR,MIL,O,Shoulder
18347-15501,SG,Allen,Allen Crabbe,Crabbe,16.33768187,69,3600,MIL@POR,POR,MIL,,
18347-70820,C,Thon,Thon Maker,Maker,6.854545593,44,3600,MIL@POR,MIL,POR,,
18347-14506,SG,Brandon,Brandon Knight,Knight,16.80740696,54,3600,PHO@MIA,PHO,MIA,O,Back
18347-42733,SG,David,David Nwaba,Nwaba,8.15,10,3600,LAC@LAL,LAL,LAC,,
18347-17218,PF,Andrew,Andrew Nicholson,Nicholson,5.854545362,33,3600,DET@BKN,BKN,DET,,
18347-16196,PF,Dwight,Dwight Powell,Powell,14.80454508,66,3600,GS@DAL,DAL,GS,,
18347-16201,PG,Michael,Michael Carter-Williams,Carter-Williams,17.03939357,33,3600,CHI@TOR,CHI,TOR,,
18347-18821,SF,Jonathon,Jonathon Simmons,Simmons,12.16461557,65,3600,SA@MIN,SA,MIN,,
