PLAYER_ID,PLAYER,FIRST_NAME,LAST_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,PTS_TOT,X
1627741,Buddy Hield,Buddy,Hield,NOP,57,20.4,3.5,1.2,2.9,0.415,1.2,2.8,0.42,0.616,202,NA
202720,Jon Leuer,Jon,Leuer,DET,74,26.0,3.5,1.4,3.9,0.366,0.7,2.2,0.297,0.451,259,NA
202693,Markieff Morris,Markieff,Morris,WAS,76,31.0,3.5,1.3,3.5,0.371,0.9,2.4,0.37,0.496,265,NA
203917,Nik Stauskas,Nik,Stauskas,PHI,79,27.3,3.5,1.2,2.8,0.409,1.1,2.8,0.411,0.609,274,NA
202066,Garrett Temple,Garrett,Temple,SAC,64,26.6,3.5,1.2,3.1,0.38,1.1,2.8,0.387,0.555,222,NA
101114,Deron Williams,Deron,Williams,DAL,39,29.2,3.5,1.2,3.3,0.369,1.1,2.8,0.373,0.527,137,NA
201167,Arron Afflalo,Arron,Afflalo,SAC,60,25.7,3.4,1.3,2.9,0.432,0.9,2.1,0.43,0.588,207,NA
2440,Matt Barnes,Matt,Barnes,SAC,54,25.3,3.4,1.2,3.6,0.328,1.1,3.2,0.331,0.477,186,NA
204038,Langston Galloway,Langston,Galloway,SAC,17,18.0,3.4,1.2,2.1,0.556,1.0,1.8,0.567,0.792,57,NA
204060,Joe Ingles,Joe,Ingles,UTA,81,24.0,3.4,1.1,2.5,0.455,1.1,2.4,0.454,0.676,273,NA
2440,Matt Barnes,Matt,Barnes,TOTAL,74,24.0,3.3,1.1,3.4,0.343,1.0,3.0,0.338,0.494,245,NA
2399,Mike Dunleavy,Mike,Dunleavy,ATL,28,15.7,3.3,1.1,2.4,0.485,1.0,2.0,0.491,0.697,92,NA
203110,Draymond Green,Draymond,Green,GSW,76,32.6,3.3,1.1,3.5,0.323,1.0,3.2,0.32,0.473,249,NA
NA,Justin Harper,Justin,Harper,PHI,3,10.5,3.3,1.3,3.0,0.444,0.7,2.3,0.286,0.556,10,NA
203524,Solomon Hill,Solomon,Hill,NOP,78,29.7,3.3,1.1,3.0,0.375,1.1,2.9,0.376,0.56,260,NA
2207,Joe Johnson,Joe,Johnson,UTA,77,23.7,3.3,1.1,2.6,0.419,1.1,2.6,0.421,0.623,253,NA
203999,Nikola Jokic,Nikola,Jokic,DEN,70,27.9,3.3,1.4,2.9,0.473,0.5,1.5,0.355,0.567,228,NA
203930,Sean Kilpatrick,Sean,Kilpatrick,BKN,69,25.1,3.3,1.1,3.2,0.347,1.0,3.0,0.345,0.507,225,NA
203086,Meyers Leonard,Meyers,Leonard,POR,73,16.3,3.3,1.2,3.3,0.362,0.9,2.5,0.349,0.496,241,NA
203112,Quincy Acy,Quincy,Acy,BKN,32,16.0,3.2,1.1,2.5,0.443,1.0,2.3,0.432,0.646,102,NA
201609,Goran Dragic,Goran,Dragic,MIA,71,33.4,3.2,1.1,2.7,0.412,1.0,2.4,0.411,0.59,229,NA
201949,James Johnson,James,Johnson,MIA,74,27.2,3.2,1.1,2.8,0.393,1.0,2.6,0.386,0.57,235,NA
