PLAYER_ID,PLAYER,FIRST_NAME,LAST_NAME,TEAM_ABBREVIATION,GP,MIN,REB,REB_CHANCE,REB_COL_PCT,REB_CONTESTED,REB_UNCONTESTED,REB_UNCONTESTED_PCT,REB_TOT,OREB,OREB_CHANCE,OREB_COL_PCT,OREB_CONTESTED,OREB_UNCONTESTED,OREB_UNCONTESTED_PCT,DREB,DREB_CHANCE,DREB_COL_PCT,DREB_CONTESTED,DREB_UNCONTESTED,DREB_UNCONTESTED_PCT,X
202709,Cory Joseph,Cory,Joseph,TOR,78,25.3,2.9,6.3,0.459,0.9,2.1,.295,227,0.6,1.6,.407,0.3,0.3,.520,2.3,4.8,0.476,0.5,1.7,.232,NA
202498,Lance Thomas,Lance,Thomas,NYK,46,21.1,3.1,6.3,0.49,0.7,2.3,.239,142,0.7,2.0,.356,0.4,0.3,.594,2.4,4.3,0.55,0.3,2.1,.136,NA
203078,Bradley Beal,Bradley,Beal,WAS,76,34.7,3.1,6.2,0.506,0.8,2.3,.261,238,0.7,1.8,.384,0.3,0.4,.434,2.4,4.4,0.557,0.5,1.9,.211,NA
1626164,Devin Booker,Devin,Booker,PHX,76,35.0,3.2,6.2,0.519,0.6,2.7,.179,246,0.6,1.6,.373,0.2,0.3,.409,2.7,4.7,0.567,0.3,2.3,.129,NA
201936,Tyreke Evans,Tyreke,Evans,TOTAL,40,19.7,3.4,6.2,0.548,0.8,2.6,.221,136,0.3,1.2,.240,0.2,0.1,.583,3.1,5.0,0.626,0.6,2.5,.185,NA
2738,Andre Iguodala,Andre,Iguodala,GSW,75,26.4,4.0,6.2,0.649,1.0,3.0,.260,300,0.7,1.2,.543,0.3,0.3,.480,3.3,4.9,0.676,0.7,2.6,.216,NA
2594,Kyle Korver,Kyle,Korver,ATL,32,27.9,2.8,6.2,0.449,0.7,2.1,.247,89,0.0,0.2,.000,0.0,0.0,-,2.8,6.0,0.464,0.7,2.1,.247,NA
203530,Joffrey Lauvergne,Joffrey,Lauvergne,OKC,50,14.8,3.7,6.2,0.59,1.4,2.3,.383,183,1.0,2.0,.515,0.7,0.3,.667,2.6,4.2,0.626,0.7,1.9,.273,NA
1626162,Kelly Oubre Jr.,Kelly,Oubre Jr.,WAS,77,19.9,3.3,6.2,0.522,0.9,2.3,.291,252,0.8,1.9,.393,0.5,0.3,.627,2.5,4.3,0.58,0.5,2.0,.188,NA
202362,Lance Stephenson,Lance,Stephenson,NOP,6,27.1,3.0,6.2,0.486,0.7,2.3,.222,18,0.5,1.5,.333,0.2,0.3,.333,2.5,4.7,0.536,0.5,2.0,.200,NA
203112,Quincy Acy,Quincy,Acy,TOTAL,38,14.7,3.0,6.1,0.5,1.0,2.1,.322,115,0.5,1.8,.286,0.4,0.1,.800,2.5,4.2,0.594,0.6,1.9,.221,NA
203086,Meyers Leonard,Meyers,Leonard,POR,72,16.0,3.1,6.1,0.502,0.9,2.2,.302,222,0.4,1.2,.314,0.2,0.2,.519,2.7,4.9,0.548,0.7,2.0,.272,NA
201177,Josh McRoberts,Josh,McRoberts,MIA,22,17.0,3.4,6.1,0.548,1.2,2.1,.365,74,1.0,2.2,.479,0.7,0.4,.652,2.3,4.0,0.586,0.5,1.8,.235,NA
201580,JaVale McGee,JaVale,McGee,GSW,75,9.4,3.1,6.1,0.511,1.5,1.6,.494,233,1.3,2.6,.497,1.0,0.3,.750,1.8,3.5,0.521,0.6,1.3,.314,NA
1626196,Josh Richardson,Josh,Richardson,MIA,51,30.0,3.2,6.1,0.514,0.9,2.3,.280,161,0.6,1.5,.440,0.3,0.4,.455,2.5,4.7,0.538,0.6,1.9,.234,NA
203471,Dennis Schroder,Dennis,Schroder,ATL,78,31.5,3.1,6.1,0.513,0.7,2.5,.216,245,0.5,1.5,.353,0.3,0.3,.500,2.6,4.6,0.565,0.4,2.2,.158,NA
201144,Mike Conley,Mike,Conley,MEM,68,33.4,3.5,6.0,0.587,0.7,2.9,.192,240,0.5,0.9,.484,0.2,0.3,.355,3.1,5.1,0.606,0.5,2.6,.167,NA
203925,Joe Harris,Joe,Harris,BKN,51,21.9,2.8,6.0,0.462,0.5,2.3,.177,141,0.3,1.3,.235,0.2,0.1,.563,2.5,4.6,0.527,0.3,2.1,.128,NA
1627783,Pascal Siakam,Pascal,Siakam,TOR,53,15.1,3.2,6.0,0.543,1.2,2.0,.378,172,1.2,2.5,.459,0.7,0.4,.629,2.1,3.4,0.604,0.5,1.6,.236,NA
202711,Bojan Bogdanovic,Bojan,Bogdanovic,TOTAL,78,25.9,3.5,5.9,0.586,0.7,2.8,.202,272,0.5,1.2,.396,0.3,0.2,.583,3.0,4.8,0.633,0.4,2.6,.144,NA
201936,Tyreke Evans,Tyreke,Evans,NOP,26,18.2,3.3,5.9,0.558,0.8,2.5,.244,86,0.2,1.0,.240,0.2,0.1,.667,3.1,5.0,0.62,0.7,2.4,.213,NA
203918,Rodney Hood,Rodney,Hood,UTA,58,27.0,3.4,5.9,0.579,0.6,2.8,.182,198,0.3,0.7,.395,0.2,0.1,.600,3.2,5.2,0.602,0.5,2.7,.148,NA
203914,Gary Harris,Gary,Harris,DEN,55,30.8,3.0,5.9,0.512,0.9,2.1,.297,165,0.8,2.1,.397,0.6,0.3,.696,2.2,3.7,0.578,0.3,1.9,.143,NA
2594,Kyle Korver,Kyle,Korver,TOTAL,65,26.3,2.7,5.9,0.462,0.7,2.0,.250,176,0.1,0.3,.318,0.0,0.1,.286,2.6,5.5,0.471,0.6,2.0,.249,NA
