"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Isaiah Whitehead",3800,"Bos@Bkn 07:30PM ET",16.034,"Bkn"
"PG","Michael Carter-Williams",3800,"Chi@Was 07:00PM ET",18.347,"Chi"
"PG/SG","Spencer Dinwiddie",3700,"Bos@Bkn 07:30PM ET",16.239,"Bkn"
"PF/C","Amir Johnson",3700,"Bos@Bkn 07:30PM ET",17.123,"Bos"
"SF","DeMarre Carroll",3700,"Tor@Det 07:30PM ET",19.413,"Tor"
"SG/SF","Shabazz Muhammad",3700,"Min@Mia 08:00PM ET",14.516,"Min"
"C","Willie Reed",3700,"Min@Mia 08:00PM ET",13.399,"Mia"
"PG","J.J. Barea",3700,"Dal@Phi 07:00PM ET",22.920,"Dal"
"SG","Nick Young",3700,"Mil@LAL 10:30PM ET",20.250,"LAL"
"SG","Archie Goodwin",3600,"Bos@Bkn 07:30PM ET",6.333,"Bkn"
"SF/PF","P.J. Tucker",3600,"Tor@Det 07:30PM ET",18.982,"Tor"
"SG","Gerald Henderson",3600,"Dal@Phi 07:00PM ET",16.932,"Phi"
"C","Aron Baynes",3500,"Tor@Det 07:30PM ET",11.512,"Det"
"SG/SF","Timothe Luwawu-Cabarrot",3500,"Dal@Phi 07:00PM ET",8.551,"Phi"
"SF","Justin Anderson",3500,"Dal@Phi 07:00PM ET",12.861,"Phi"
"SG/SF","E'Twaun Moore",3500,"Hou@NO 08:00PM ET",18.176,"NO"
"SF/PF","Sam Dekker",3500,"Hou@NO 08:00PM ET",15.114,"Hou"
"SG","Brandon Knight",3500,"Orl@Pho 10:00PM ET",18.181,"Pho"
"PG","Jerian Grant",3400,"Chi@Was 07:00PM ET",11.882,"Chi"
"PG","Tomas Satoransky",3400,"Chi@Was 07:00PM ET",7.974,"Was"
"C","Ian Mahinmi",3400,"Chi@Was 07:00PM ET",14.147,"Was"
"SG","Nik Stauskas",3400,"Dal@Phi 07:00PM ET",17.523,"Phi"
"PG","Tim Frazier",3400,"Hou@NO 08:00PM ET",20.178,"NO"
"SF/PF","Quincy Acy",3300,"Bos@Bkn 07:30PM ET",11.657,"Bkn"
"PG","Sergio Rodriguez",3300,"Dal@Phi 07:00PM ET",19.375,"Phi"
"SF/PF","Dante Cunningham",3200,"Hou@NO 08:00PM ET",14.825,"NO"
"SF","Solomon Hill",3200,"Hou@NO 08:00PM ET",16.174,"NO"
"PG/SG","Leandro Barbosa",3200,"Orl@Pho 10:00PM ET",10.719,"Pho"
"SF/PF","Jeff Green",3200,"Orl@Pho 10:00PM ET",16.358,"Orl"
"SG/SF","Stanley Johnson",3100,"Tor@Det 07:30PM ET",11.590,"Det"
"C","John Henson",3100,"Mil@LAL 10:30PM ET",18.160,"Mil"
"PG","Demetrius Jackson",3000,"Bos@Bkn 07:30PM ET",4.000,"Bos"
"PG","Terry Rozier",3000,"Bos@Bkn 07:30PM ET",13.675,"Bos"
"SG","Randy Foye",3000,"Bos@Bkn 07:30PM ET",12.472,"Bkn"
"SG","James Young",3000,"Bos@Bkn 07:30PM ET",4.860,"Bos"
"SF","Gerald Green",3000,"Bos@Bkn 07:30PM ET",9.816,"Bos"
"SF","Joe Harris",3000,"Bos@Bkn 07:30PM ET",15.072,"Bkn"
"SF","K.J. McDaniels",3000,"Bos@Bkn 07:30PM ET",5.284,"Bkn"
"PF","Andrew Nicholson",3000,"Bos@Bkn 07:30PM ET",5.570,"Bkn"
"PF","Jonas Jerebko",3000,"Bos@Bkn 07:30PM ET",11.000,"Bos"
"PF","Jordan Mickey",3000,"Bos@Bkn 07:30PM ET",4.217,"Bos"
"C","Justin Hamilton",3000,"Bos@Bkn 07:30PM ET",15.676,"Bkn"
"C","Tyler Zeller",3000,"Bos@Bkn 07:30PM ET",9.030,"Bos"
"PG","Beno Udrih",3000,"Tor@Det 07:30PM ET",12.033,"Det"
"PG","Fred VanVleet",3000,"Tor@Det 07:30PM ET",7.036,"Tor"
"PG","Delon Wright",3000,"Tor@Det 07:30PM ET",13.846,"Tor"
"SG","Reggie Bullock",3000,"Tor@Det 07:30PM ET",8.466,"Det"
"SG","Darrun Hilliard",3000,"Tor@Det 07:30PM ET",5.892,"Det"
"SF","Michael Gbinije",3000,"Tor@Det 07:30PM ET",1.194,"Det"
"SF","Bruno Caboclo",3000,"Tor@Det 07:30PM ET",2.313,"Tor"
"PF","Patrick Patterson",3000,"Tor@Det 07:30PM ET",17.466,"Tor"
"PF","Lucas Nogueira",3000,"Tor@Det 07:30PM ET",16.368,"Tor"
"PF","Pascal Siakam",3000,"Tor@Det 07:30PM ET",11.255,"Tor"
"PF","Henry Ellenson",3000,"Tor@Det 07:30PM ET",2.964,"Det"
"C","Boban Marjanovic",3000,"Tor@Det 07:30PM ET",9.163,"Det"
"C","Jakob Poeltl",3000,"Tor@Det 07:30PM ET",7.056,"Tor"
"PG","Isaiah Canaan",3000,"Chi@Was 07:00PM ET",9.593,"Chi"
"PG","Trey Burke",3000,"Chi@Was 07:00PM ET",8.792,"Was"
"PG","Cameron Payne",3000,"Chi@Was 07:00PM ET",11.509,"Chi"
"SG/SF","Kelly Oubre Jr.",3000,"Chi@Was 07:00PM ET",12.070,"Was"
"SG","Anthony Morrow",3000,"Chi@Was 07:00PM ET",8.577,"Chi"
"SG","Sheldon McClellan",3000,"Chi@Was 07:00PM ET",5.482,"Was"
"SF","Paul Zipser",3000,"Chi@Was 07:00PM ET",9.225,"Chi"
"PF/C","Jason Smith",3000,"Chi@Was 07:00PM ET",11.371,"Was"
"PF/C","Joffrey Lauvergne",3000,"Chi@Was 07:00PM ET",12.272,"Chi"
"PF","Chris McCullough",3000,"Chi@Was 07:00PM ET",4.383,"Was"
"C","Daniel Ochefu",3000,"Chi@Was 07:00PM ET",2.417,"Was"
"C","Cristiano Felicio",3000,"Chi@Was 07:00PM ET",13.199,"Chi"
"PG/SG","Tyus Jones",3000,"Min@Mia 08:00PM ET",9.722,"Min"
"PG","Kris Dunn",3000,"Min@Mia 08:00PM ET",11.817,"Min"
"SG/SF","Rodney McGruder",3000,"Min@Mia 08:00PM ET",14.367,"Mia"
"SG","Brandon Rush",3000,"Min@Mia 08:00PM ET",10.352,"Min"
"SG","Zach LaVine",3000,"Min@Mia 08:00PM ET",30.149,"Min"
"SF","Lance Stephenson",3000,"Min@Mia 08:00PM ET",13.667,"Min"
"PF","Chris Bosh",3000,"Min@Mia 08:00PM ET",0,"Mia"
"PF","Udonis Haslem",3000,"Min@Mia 08:00PM ET",5.859,"Mia"
"PF","Josh McRoberts",3000,"Min@Mia 08:00PM ET",13.523,"Mia"
"PF","Jordan Hill",3000,"Min@Mia 08:00PM ET",5.350,"Min"
"PF","Luke Babbitt",3000,"Min@Mia 08:00PM ET",9.564,"Mia"
"PF","Okaro White",3000,"Min@Mia 08:00PM ET",9.087,"Mia"
"PF","Adreian Payne",3000,"Min@Mia 08:00PM ET",7.875,"Min"
"PF","Justise Winslow",3000,"Min@Mia 08:00PM ET",25.833,"Mia"
"C","Cole Aldrich",3000,"Min@Mia 08:00PM ET",7.183,"Min"
"C","Nikola Pekovic",3000,"Min@Mia 08:00PM ET",0,"Min"
"PG/SG","Devin Harris",3000,"Dal@Phi 07:00PM ET",13.075,"Dal"
"PG","Jerryd Bayless",3000,"Dal@Phi 07:00PM ET",21.333,"Phi"
"PG","Ben Simmons",3000,"Dal@Phi 07:00PM ET",0,"Phi"
"SG","Manny Harris",3000,"Dal@Phi 07:00PM ET",1.750,"Dal"
"SG","Nicolas Brussino",3000,"Dal@Phi 07:00PM ET",5.395,"Dal"
"SF","Dorian Finney-Smith",3000,"Dal@Phi 07:00PM ET",11.000,"Dal"
"PF/C","Shawn Long",3000,"Dal@Phi 07:00PM ET",12.750,"Phi"
"PF","Dwight Powell",3000,"Dal@Phi 07:00PM ET",15.488,"Dal"
"PF","Jarrod Uthoff",3000,"Dal@Phi 07:00PM ET",1.625,"Dal"
"C","Tiago Splitter",3000,"Dal@Phi 07:00PM ET",0.000,"Phi"
"C","Salah Mejri",3000,"Dal@Phi 07:00PM ET",11.082,"Dal"
"C","A.J. Hammons",3000,"Dal@Phi 07:00PM ET",3.583,"Dal"
"C","Joel Embiid",3000,"Dal@Phi 07:00PM ET",38.992,"Phi"
"PG","Bobby Brown",3000,"Hou@NO 08:00PM ET",2.107,"Hou"
"PG","Isaiah Taylor",3000,"Hou@NO 08:00PM ET",0,"Hou"
"SG","Hollis Thompson",3000,"Hou@NO 08:00PM ET",11.500,"NO"
"SG","Troy Williams",3000,"Hou@NO 08:00PM ET",10.770,"Hou"
